Width,Height,Mode,Format,SizeBytes,FileSize,FileSizeUnit,ClassId,ClassName,Path
85,132,RGB,PNG,1882,1.84, KB,0,Double top,Segmentation/0_0000_00133.png
63,125,RGB,PNG,1790,1.75, KB,1,Double bottom,Segmentation/1_0000_00050.png
70,94,RGB,PNG,1546,1.51, KB,0,Double top,Segmentation/0_0000_00007.png
193,162,RGB,PNG,3424,3.34, KB,0,Double top,Segmentation/0_0000_00051.png
69,83,RGB,PNG,1874,1.83, KB,1,Double bottom,Segmentation/1_0000_00096.png
64,142,RGB,PNG,2306,2.25, KB,0,Double top,Segmentation/0_0000_00072.png
53,58,RGB,PNG,1172,1.14, KB,0,Double top,Segmentation/0_0000_00114.png
89,126,RGB,PNG,2572,2.51, KB,1,Double bottom,Segmentation/1_00031.png
88,146,RGB,PNG,2203,2.15, KB,1,Double bottom,Segmentation/1_0000_00097.png
54,63,RGB,PNG,507,507.00, B,0,Double top,Segmentation/0_00024.png
72,113,RGB,PNG,1877,1.83, KB,1,Double bottom,Segmentation/1_0000_00100.png
64,76,RGB,PNG,1208,1.18, KB,0,Double top,Segmentation/0_0000_00136.png
57,72,RGB,PNG,1401,1.37, KB,1,Double bottom,Segmentation/1_0000_00006.png
73,70,RGB,PNG,1460,1.43, KB,1,Double bottom,Segmentation/1_00028.png
133,139,RGB,PNG,2785,2.72, KB,1,Double bottom,Segmentation/1_0000_00065.png
58,73,RGB,PNG,1468,1.43, KB,0,Double top,Segmentation/0_0000_00116.png
84,70,RGB,PNG,1639,1.60, KB,1,Double bottom,Segmentation/1_00018.png
460,384,RGB,PNG,8573,8.37, KB,1,Double bottom,Segmentation/1_0000_00099.png
70,98,RGB,PNG,1922,1.88, KB,1,Double bottom,Segmentation/1_0000_00028.png
159,173,RGB,PNG,4092,4.00, KB,1,Double bottom,Segmentation/1_0000_00117.png
70,76,RGB,PNG,1330,1.30, KB,0,Double top,Segmentation/0_0000_00043.png
106,91,RGB,PNG,1832,1.79, KB,1,Double bottom,Segmentation/1_0000_00113.png
52,81,RGB,PNG,1529,1.49, KB,0,Double top,Segmentation/0_0000_00040.png
97,71,RGB,PNG,1595,1.56, KB,1,Double bottom,Segmentation/1_0000_00025.png
143,169,RGB,PNG,2908,2.84, KB,1,Double bottom,Segmentation/1_00021.png
149,100,RGB,PNG,3020,2.95, KB,1,Double bottom,Segmentation/1_0000_00131.png
79,106,RGB,PNG,779,779.00, B,0,Double top,Segmentation/0_00029.png
70,85,RGB,PNG,1294,1.26, KB,0,Double top,Segmentation/0_0000_00104.png
63,65,RGB,PNG,534,534.00, B,0,Double top,Segmentation/0_00003.png
75,57,RGB,PNG,1429,1.40, KB,1,Double bottom,Segmentation/1_00020.png
114,74,RGB,PNG,2176,2.12, KB,1,Double bottom,Segmentation/1_0000_00095.png
57,101,RGB,PNG,2168,2.12, KB,0,Double top,Segmentation/0_0000_00123.png
56,131,RGB,PNG,2316,2.26, KB,0,Double top,Segmentation/0_0000_00023.png
71,108,RGB,PNG,1693,1.65, KB,0,Double top,Segmentation/0_0000_00073.png
125,134,RGB,PNG,2343,2.29, KB,1,Double bottom,Segmentation/1_0000_00083.png
84,55,RGB,PNG,1217,1.19, KB,0,Double top,Segmentation/0_0000_00110.png
139,106,RGB,PNG,1628,1.59, KB,0,Double top,Segmentation/0_0000_00013.png
109,68,RGB,PNG,1468,1.43, KB,0,Double top,Segmentation/0_0000_00064.png
168,243,RGB,PNG,3331,3.25, KB,0,Double top,Segmentation/0_0000_00017.png
167,153,RGB,PNG,2799,2.73, KB,1,Double bottom,Segmentation/1_0000_00013.png
181,115,RGB,PNG,2307,2.25, KB,1,Double bottom,Segmentation/1_0000_00036.png
85,107,RGB,PNG,1680,1.64, KB,0,Double top,Segmentation/0_0000_00086.png
56,95,RGB,PNG,1834,1.79, KB,1,Double bottom,Segmentation/1_00022.png
95,99,RGB,PNG,2093,2.04, KB,1,Double bottom,Segmentation/1_0000_00101.png
75,86,RGB,PNG,1401,1.37, KB,0,Double top,Segmentation/0_0000_00066.png
65,126,RGB,PNG,2751,2.69, KB,0,Double top,Segmentation/0_0000_00057.png
55,115,RGB,PNG,2458,2.40, KB,0,Double top,Segmentation/0_0000_00004.png
295,233,RGB,PNG,7135,6.97, KB,1,Double bottom,Segmentation/1_0000_00077.png
54,142,RGB,PNG,1643,1.60, KB,0,Double top,Segmentation/0_0000_00024.png
52,61,RGB,PNG,1236,1.21, KB,1,Double bottom,Segmentation/1_0000_00046.png
60,145,RGB,PNG,1835,1.79, KB,0,Double top,Segmentation/0_0000_00112.png
77,140,RGB,PNG,493,493.00, B,0,Double top,Segmentation/0_00012.png
109,69,RGB,PNG,1599,1.56, KB,1,Double bottom,Segmentation/1_0000_00021.png
53,76,RGB,PNG,1848,1.80, KB,1,Double bottom,Segmentation/1_00015.png
162,152,RGB,PNG,2746,2.68, KB,1,Double bottom,Segmentation/1_0000_00069.png
80,83,RGB,PNG,1424,1.39, KB,0,Double top,Segmentation/0_0000_00003.png
62,95,RGB,PNG,1322,1.29, KB,0,Double top,Segmentation/0_0000_00061.png
64,72,RGB,PNG,1465,1.43, KB,1,Double bottom,Segmentation/1_0000_00092.png
149,88,RGB,PNG,2653,2.59, KB,1,Double bottom,Segmentation/1_0000_00126.png
67,106,RGB,PNG,1535,1.50, KB,0,Double top,Segmentation/0_0000_00038.png
85,117,RGB,PNG,1964,1.92, KB,1,Double bottom,Segmentation/1_0000_00115.png
91,90,RGB,PNG,653,653.00, B,0,Double top,Segmentation/0_00015.png
91,75,RGB,PNG,1651,1.61, KB,1,Double bottom,Segmentation/1_00026.png
85,119,RGB,PNG,2650,2.59, KB,1,Double bottom,Segmentation/1_0000_00026.png
109,124,RGB,PNG,2130,2.08, KB,0,Double top,Segmentation/0_0000_00065.png
53,78,RGB,PNG,1467,1.43, KB,1,Double bottom,Segmentation/1_0000_00128.png
63,86,RGB,PNG,1437,1.40, KB,0,Double top,Segmentation/0_0000_00011.png
72,70,RGB,PNG,502,502.00, B,0,Double top,Segmentation/0_00002.png
230,214,RGB,PNG,5864,5.73, KB,1,Double bottom,Segmentation/1_00006.png
134,150,RGB,PNG,1134,1.11, KB,0,Double top,Segmentation/0_00013.png
94,147,RGB,PNG,2394,2.34, KB,0,Double top,Segmentation/0_0000_00002.png
54,51,RGB,PNG,1103,1.08, KB,1,Double bottom,Segmentation/1_00030.png
56,68,RGB,PNG,1400,1.37, KB,1,Double bottom,Segmentation/1_0000_00074.png
72,79,RGB,PNG,1669,1.63, KB,1,Double bottom,Segmentation/1_0000_00051.png
256,256,RGB,PNG,4532,4.43, KB,0,Double top,Segmentation/0_0000_00085.png
118,77,RGB,PNG,1924,1.88, KB,1,Double bottom,Segmentation/1_00032.png
177,154,RGB,PNG,3277,3.20, KB,0,Double top,Segmentation/0_0000_00006.png
118,112,RGB,PNG,2792,2.73, KB,1,Double bottom,Segmentation/1_0000_00134.png
94,106,RGB,PNG,2385,2.33, KB,1,Double bottom,Segmentation/1_0000_00030.png
256,256,RGB,PNG,5451,5.32, KB,0,Double top,Segmentation/0_0000_00076.png
107,109,RGB,PNG,2145,2.09, KB,1,Double bottom,Segmentation/1_0000_00017.png
51,71,RGB,PNG,1135,1.11, KB,0,Double top,Segmentation/0_0000_00055.png
76,94,RGB,PNG,1731,1.69, KB,1,Double bottom,Segmentation/1_0000_00072.png
55,53,RGB,PNG,1157,1.13, KB,1,Double bottom,Segmentation/1_00024.png
326,268,RGB,PNG,2047,2.00, KB,0,Double top,Segmentation/0_00007.png
193,194,RGB,PNG,4353,4.25, KB,0,Double top,Segmentation/0_0000_00106.png
141,114,RGB,PNG,2666,2.60, KB,1,Double bottom,Segmentation/1_0000_00058.png
161,220,RGB,PNG,1578,1.54, KB,0,Double top,Segmentation/0_00028.png
56,139,RGB,PNG,706,706.00, B,0,Double top,Segmentation/0_00020.png
161,136,RGB,PNG,2606,2.54, KB,0,Double top,Segmentation/0_0000_00070.png
107,71,RGB,PNG,1894,1.85, KB,1,Double bottom,Segmentation/1_0000_00057.png
149,166,RGB,PNG,2685,2.62, KB,1,Double bottom,Segmentation/1_0000_00122.png
83,53,RGB,PNG,1207,1.18, KB,0,Double top,Segmentation/0_0000_00118.png
62,115,RGB,PNG,2156,2.11, KB,1,Double bottom,Segmentation/1_0000_00007.png
65,58,RGB,PNG,1466,1.43, KB,0,Double top,Segmentation/0_0000_00113.png
74,79,RGB,PNG,1307,1.28, KB,0,Double top,Segmentation/0_0000_00083.png
185,163,RGB,PNG,3931,3.84, KB,1,Double bottom,Segmentation/1_0000_00001.png
125,88,RGB,PNG,2438,2.38, KB,1,Double bottom,Segmentation/1_00010.png
52,77,RGB,PNG,1237,1.21, KB,1,Double bottom,Segmentation/1_0000_00120.png
236,238,RGB,PNG,4361,4.26, KB,0,Double top,Segmentation/0_0000_00102.png
102,67,RGB,PNG,1493,1.46, KB,0,Double top,Segmentation/0_0000_00025.png
134,177,RGB,PNG,4131,4.03, KB,0,Double top,Segmentation/0_0000_00095.png
113,124,RGB,PNG,2448,2.39, KB,1,Double bottom,Segmentation/1_0000_00088.png
67,70,RGB,PNG,1266,1.24, KB,1,Double bottom,Segmentation/1_0000_00033.png
172,171,RGB,PNG,2979,2.91, KB,1,Double bottom,Segmentation/1_0000_00060.png
205,175,RGB,PNG,3830,3.74, KB,1,Double bottom,Segmentation/1_0000_00040.png
94,136,RGB,PNG,2464,2.41, KB,0,Double top,Segmentation/0_0000_00125.png
158,124,RGB,PNG,2835,2.77, KB,1,Double bottom,Segmentation/1_0000_00118.png
82,87,RGB,PNG,1477,1.44, KB,1,Double bottom,Segmentation/1_0000_00135.png
55,149,RGB,PNG,1120,1.09, KB,0,Double top,Segmentation/0_00016.png
103,76,RGB,PNG,1763,1.72, KB,1,Double bottom,Segmentation/1_0000_00043.png
59,111,RGB,PNG,1973,1.93, KB,1,Double bottom,Segmentation/1_0000_00018.png
155,107,RGB,PNG,2905,2.84, KB,1,Double bottom,Segmentation/1_0000_00063.png
99,127,RGB,PNG,2878,2.81, KB,1,Double bottom,Segmentation/1_0000_00103.png
210,185,RGB,PNG,3702,3.62, KB,1,Double bottom,Segmentation/1_0000_00012.png
118,143,RGB,PNG,2681,2.62, KB,1,Double bottom,Segmentation/1_0000_00109.png
53,143,RGB,PNG,1111,1.08, KB,0,Double top,Segmentation/0_00019.png
69,64,RGB,PNG,1433,1.40, KB,1,Double bottom,Segmentation/1_00009.png
106,110,RGB,PNG,2144,2.09, KB,0,Double top,Segmentation/0_0000_00130.png
69,77,RGB,PNG,1222,1.19, KB,0,Double top,Segmentation/0_0000_00109.png
51,68,RGB,PNG,1335,1.30, KB,0,Double top,Segmentation/0_0000_00122.png
57,103,RGB,PNG,1791,1.75, KB,0,Double top,Segmentation/0_0000_00056.png
63,75,RGB,PNG,1336,1.30, KB,1,Double bottom,Segmentation/1_0000_00055.png
66,136,RGB,PNG,2581,2.52, KB,1,Double bottom,Segmentation/1_0000_00003.png
166,158,RGB,PNG,3118,3.04, KB,0,Double top,Segmentation/0_0000_00054.png
104,116,RGB,PNG,2179,2.13, KB,0,Double top,Segmentation/0_0000_00087.png
72,139,RGB,PNG,2325,2.27, KB,0,Double top,Segmentation/0_0000_00124.png
148,214,RGB,PNG,1364,1.33, KB,0,Double top,Segmentation/0_00009.png
68,60,RGB,PNG,1268,1.24, KB,1,Double bottom,Segmentation/1_0000_00125.png
129,134,RGB,PNG,2766,2.70, KB,0,Double top,Segmentation/0_0000_00107.png
57,71,RGB,PNG,1475,1.44, KB,1,Double bottom,Segmentation/1_0000_00130.png
63,81,RGB,PNG,1299,1.27, KB,0,Double top,Segmentation/0_0000_00092.png
135,100,RGB,PNG,871,871.00, B,0,Double top,Segmentation/0_00022.png
80,104,RGB,PNG,1899,1.85, KB,0,Double top,Segmentation/0_0000_00067.png
54,63,RGB,PNG,1229,1.20, KB,1,Double bottom,Segmentation/1_00001.png
132,133,RGB,PNG,3218,3.14, KB,1,Double bottom,Segmentation/1_0000_00048.png
93,119,RGB,PNG,2052,2.00, KB,0,Double top,Segmentation/0_0000_00030.png
79,70,RGB,PNG,1204,1.18, KB,0,Double top,Segmentation/0_0000_00101.png
142,119,RGB,PNG,3009,2.94, KB,1,Double bottom,Segmentation/1_0000_00133.png
83,78,RGB,PNG,1596,1.56, KB,1,Double bottom,Segmentation/1_0000_00071.png
121,113,RGB,PNG,2028,1.98, KB,0,Double top,Segmentation/0_0000_00037.png
89,93,RGB,PNG,1803,1.76, KB,0,Double top,Segmentation/0_0000_00105.png
76,147,RGB,PNG,2964,2.89, KB,1,Double bottom,Segmentation/1_0000_00054.png
54,114,RGB,PNG,1520,1.48, KB,1,Double bottom,Segmentation/1_0000_00082.png
116,143,RGB,PNG,2496,2.44, KB,1,Double bottom,Segmentation/1_0000_00124.png
144,99,RGB,PNG,2222,2.17, KB,0,Double top,Segmentation/0_0000_00132.png
81,73,RGB,PNG,1597,1.56, KB,0,Double top,Segmentation/0_0000_00088.png
87,82,RGB,PNG,1916,1.87, KB,1,Double bottom,Segmentation/1_00014.png
86,114,RGB,PNG,1892,1.85, KB,0,Double top,Segmentation/0_0000_00097.png
88,181,RGB,PNG,2785,2.72, KB,1,Double bottom,Segmentation/1_0000_00090.png
53,75,RGB,PNG,1480,1.45, KB,0,Double top,Segmentation/0_0000_00079.png
68,143,RGB,PNG,2075,2.03, KB,0,Double top,Segmentation/0_0000_00012.png
196,213,RGB,PNG,1743,1.70, KB,0,Double top,Segmentation/0_00008.png
86,113,RGB,PNG,1967,1.92, KB,1,Double bottom,Segmentation/1_0000_00129.png
113,101,RGB,PNG,2293,2.24, KB,1,Double bottom,Segmentation/1_00016.png
166,168,RGB,PNG,3497,3.42, KB,0,Double top,Segmentation/0_0000_00047.png
115,124,RGB,PNG,3580,3.50, KB,0,Double top,Segmentation/0_0000_00103.png
68,73,RGB,PNG,1568,1.53, KB,1,Double bottom,Segmentation/1_0000_00116.png
112,141,RGB,PNG,2568,2.51, KB,0,Double top,Segmentation/0_0000_00060.png
69,83,RGB,PNG,1543,1.51, KB,1,Double bottom,Segmentation/1_0000_00112.png
62,125,RGB,PNG,2051,2.00, KB,1,Double bottom,Segmentation/1_00033.png
55,52,RGB,PNG,1024,1.00, KB,0,Double top,Segmentation/0_0000_00121.png
275,262,RGB,PNG,5642,5.51, KB,1,Double bottom,Segmentation/1_0000_00136.png
59,112,RGB,PNG,1740,1.70, KB,0,Double top,Segmentation/0_0000_00077.png
59,99,RGB,PNG,1431,1.40, KB,0,Double top,Segmentation/0_0000_00074.png
82,93,RGB,PNG,765,765.00, B,0,Double top,Segmentation/0_00006.png
73,63,RGB,PNG,1540,1.50, KB,1,Double bottom,Segmentation/1_0000_00019.png
93,119,RGB,PNG,1114,1.09, KB,0,Double top,Segmentation/0_00031.png
156,122,RGB,PNG,2857,2.79, KB,1,Double bottom,Segmentation/1_0000_00038.png
58,88,RGB,PNG,1645,1.61, KB,1,Double bottom,Segmentation/1_0000_00119.png
67,55,RGB,PNG,1525,1.49, KB,0,Double top,Segmentation/0_0000_00031.png
86,91,RGB,PNG,1618,1.58, KB,0,Double top,Segmentation/0_0000_00021.png
146,283,RGB,PNG,2314,2.26, KB,0,Double top,Segmentation/0_00011.png
136,151,RGB,PNG,3931,3.84, KB,1,Double bottom,Segmentation/1_0000_00068.png
255,158,RGB,PNG,3830,3.74, KB,0,Double top,Segmentation/0_0000_00082.png
103,130,RGB,PNG,834,834.00, B,0,Double top,Segmentation/0_00025.png
97,94,RGB,PNG,1975,1.93, KB,0,Double top,Segmentation/0_0000_00016.png
111,106,RGB,PNG,2187,2.14, KB,1,Double bottom,Segmentation/1_0000_00053.png
74,69,RGB,PNG,1396,1.36, KB,0,Double top,Segmentation/0_0000_00078.png
85,93,RGB,PNG,1539,1.50, KB,0,Double top,Segmentation/0_0000_00120.png
63,66,RGB,PNG,1193,1.17, KB,0,Double top,Segmentation/0_0000_00069.png
163,226,RGB,PNG,1765,1.72, KB,0,Double top,Segmentation/0_00027.png
63,130,RGB,PNG,960,960.00, B,0,Double top,Segmentation/0_00034.png
60,91,RGB,PNG,1458,1.42, KB,1,Double bottom,Segmentation/1_0000_00056.png
63,62,RGB,PNG,1250,1.22, KB,0,Double top,Segmentation/0_0000_00045.png
66,84,RGB,PNG,1861,1.82, KB,1,Double bottom,Segmentation/1_0000_00087.png
206,210,RGB,PNG,4285,4.18, KB,0,Double top,Segmentation/0_0000_00062.png
103,72,RGB,PNG,1856,1.81, KB,1,Double bottom,Segmentation/1_0000_00045.png
80,72,RGB,PNG,1576,1.54, KB,0,Double top,Segmentation/0_0000_00022.png
87,121,RGB,PNG,2032,1.98, KB,0,Double top,Segmentation/0_0000_00008.png
58,67,RGB,PNG,1221,1.19, KB,1,Double bottom,Segmentation/1_0000_00081.png
86,110,RGB,PNG,1703,1.66, KB,1,Double bottom,Segmentation/1_0000_00123.png
76,76,RGB,PNG,1432,1.40, KB,0,Double top,Segmentation/0_0000_00131.png
85,114,RGB,PNG,1629,1.59, KB,0,Double top,Segmentation/0_0000_00093.png
63,56,RGB,PNG,1386,1.35, KB,0,Double top,Segmentation/0_0000_00049.png
345,345,RGB,PNG,7584,7.41, KB,1,Double bottom,Segmentation/1_0000_00084.png
131,202,RGB,PNG,3200,3.12, KB,0,Double top,Segmentation/0_0000_00089.png
66,110,RGB,PNG,1630,1.59, KB,0,Double top,Segmentation/0_0000_00075.png
207,200,RGB,PNG,3474,3.39, KB,0,Double top,Segmentation/0_0000_00068.png
65,56,RGB,PNG,1205,1.18, KB,1,Double bottom,Segmentation/1_0000_00085.png
60,129,RGB,PNG,2721,2.66, KB,1,Double bottom,Segmentation/1_0000_00064.png
102,100,RGB,PNG,1937,1.89, KB,1,Double bottom,Segmentation/1_0000_00015.png
64,70,RGB,PNG,1485,1.45, KB,1,Double bottom,Segmentation/1_0000_00027.png
95,130,RGB,PNG,1900,1.86, KB,1,Double bottom,Segmentation/1_0000_00034.png
205,200,RGB,PNG,4208,4.11, KB,0,Double top,Segmentation/0_0000_00080.png
164,101,RGB,PNG,2742,2.68, KB,1,Double bottom,Segmentation/1_0000_00094.png
72,65,RGB,PNG,1604,1.57, KB,1,Double bottom,Segmentation/1_0000_00105.png
148,137,RGB,PNG,2579,2.52, KB,0,Double top,Segmentation/0_0000_00044.png
55,68,RGB,PNG,1725,1.68, KB,1,Double bottom,Segmentation/1_0000_00091.png
104,88,RGB,PNG,1920,1.88, KB,0,Double top,Segmentation/0_0000_00014.png
74,86,RGB,PNG,590,590.00, B,0,Double top,Segmentation/0_00032.png
92,67,RGB,PNG,1394,1.36, KB,0,Double top,Segmentation/0_0000_00046.png
152,113,RGB,PNG,2511,2.45, KB,1,Double bottom,Segmentation/1_0000_00114.png
73,88,RGB,PNG,1495,1.46, KB,0,Double top,Segmentation/0_0000_00063.png
55,79,RGB,PNG,1185,1.16, KB,1,Double bottom,Segmentation/1_0000_00061.png
56,112,RGB,PNG,1477,1.44, KB,0,Double top,Segmentation/0_0000_00034.png
89,136,RGB,PNG,1065,1.04, KB,0,Double top,Segmentation/0_00021.png
